"Pacific.blue"	"Alexa"	"APC"
2197	915	2139
1261	521	258
2995	459	1566
3269	1059	2490
2219	686	1095
3075	183	501
1543	615	2549
1527	871	1899
3027	822	1755
1543	810	443
594	744	421
3088	272	1781
3160	997	2391
3365	338	2692
1489	822	1783
1864	550	1469
534	641	2461
3037	938	1708
3237	480	2629
1973	746	1754
2695	649	276
2515	604	1670
1608	831	1897
576	701	439
3075	728	2373
2063	835	1905
1748	765	1955
2219	748	2033
2200	652	432
2039	892	2518
1942	643	387
625	855	1916
1556	710	2595
709	838	1870
2631	935	2481
2104	395	2482
713	804	372
2497	921	2408
2468	654	424
2383	544	406
900	711	526
915	654	477
1015	802	2484
1463	908	2164
1445	722	1885
2212	580	2571
1389	726	556
2968	998	503
1262	801	2014
821	724	615
1554	561	383
2451	637	383
824	814	324
2519	794	391
1022	814	589
3269	835	1889
1644	916	2663
2084	638	2420
769	763	1832
1647	489	1774
1844	704	1422
1521	725	1867
599	546	327
2702	648	2047
897	839	383
2071	759	2615
2495	829	1767
3042	481	1649
1578	721	2489
2151	851	2591
2593	502	541
1530	596	1772
1759	711	2747
2190	663	1750
2125	749	2497
815	753	447
2050	689	383
1887	778	1409
3156	1057	1745
1523	826	2636
890	878	1750
859	791	409
1732	658	2679
1913	635	2426
2522	775	1736
2589	661	436
846	711	417
3193	774	2403
3373	617	2742
2702	209	533
1559	889	1894
2166	838	2626
3127	998	1793
1993	715	394
2006	558	518
1561	668	541
2622	680	402
734	401	276
816	803	1859
1930	583	1797
2099	710	1809
956	645	1043
2530	883	2420
2542	454	409
1993	654	522
2084	806	2392
2708	755	421
2177	501	2396
1559	722	1871
2113	628	342
703	740	2487
2552	784	1742
2143	455	2505
2689	783	1790
583	622	1674
2492	966	2392
994	807	2523
1514	580	421
1909	758	2507
2132	843	1805
2172	532	972
3093	917	1686
2617	373	380
1505	548	496
2846	818	1933
2121	671	1877
1659	730	2726
3004	513	349
781	809	368
805	561	1864
2716	258	2492
2706	879	428
2216	671	357
714	733	428
1383	798	515
2480	904	477
2129	431	417
2694	858	2560
1309	674	515
2236	635	500
1571	792	1767
3225	645	1783
653	560	700
765	757	436
1576	687	1784
1128	571	421
2647	261	2421
3050	607	545
1639	688	2710
656	678	2222
1961	669	298
1116	881	2079
1504	570	496
3022	448	492
3326	684	2125
3174	780	2388
2507	514	2340
1611	692	2555
1548	785	1870
1539	714	1842
1557	589	2551
3021	259	1383
2132	988	1945
870	861	1911
3076	627	2491
3082	827	2324
768	784	1949
3098	718	1902
1560	774	1794
903	716	1761
2106	991	700
2453	739	368
2197	757	1780
1374	765	2525
1985	715	1690
818	762	2493
413	700	2534
3042	680	448
2687	852	1937
2670	829	2563
2001	795	574
1604	623	485
2586	612	1837
1408	809	2393
3043	923	578
563	752	376
2705	434	368
2497	860	403
2157	457	288
3089	415	1767
858	778	2517
856	720	2462
1942	707	1798
942	772	2015
2126	843	2576
1608	830	1978
1168	572	481
1997	733	2386
2092	722	1991
1710	567	443
918	709	462
3184	853	2567
752	631	424
1911	738	2381
2759	402	1829
1504	673	1831
2040	513	1783
801	661	428
1324	623	1609
2780	270	1849
584	686	327
3183	362	2618
1573	670	503
1437	731	1842
1478	596	413
861	892	2676
993	812	1871
895	727	398
2053	709	537
1495	606	1984
1455	756	1960
1457	764	462
1494	537	1579
863	860	1107
495	739	2361
2061	864	1832
2061	836	1746
2300	728	972
839	677	2568
2153	451	1981
1588	814	1960
2706	853	511
2037	859	1993
1577	803	2658
2060	648	455
1657	872	2001
2042	407	1612
2218	715	2613
1943	751	503
953	633	2400
2143	940	2031
2063	657	1955
1475	829	1950
1994	752	485
2017	761	560
545	696	2463
455	438	368
1576	635	1796
1764	706	424
776	580	723
1049	606	817
1498	847	2554
550	661	1800
3030	999	1698
2951	207	338
2755	912	541
491	586	2430
2503	670	1744
1307	834	1663
2579	523	473
2996	514	1703
3325	902	2665
810	725	342
2604	671	1690
948	760	1869
3103	506	1770
735	833	526
885	732	1192
2070	774	1766
2629	1074	526
1172	746	421
1197	633	383
2610	568	1763
2035	690	1749
1693	690	2668
1594	802	2682
639	713	2419
2565	514	1719
2486	662	2222
1530	697	485
2662	491	1804
2012	775	2431
2298	730	1913
2577	543	1762
1845	791	1392
3159	248	2474
1544	761	1686
2044	627	2446
2160	701	2531
2027	713	2543
1505	724	1716
2527	832	1758
2625	897	622
600	479	2486
2570	731	2460
1800	636	432
1607	730	2708
1610	664	654
558	509	2381
849	602	353
3204	682	2491
2736	653	1743
1985	599	1673
1906	705	421
2605	787	515
1552	745	2503
2515	486	1723
410	456	149
1710	534	335
1993	786	2532
2153	555	2564
588	654	1627
2005	675	1879
2704	739	2570
1636	925	2000
1140	908	2461
2927	954	1998
2465	660	1490
592	589	658
1371	622	1401
2577	661	417
760	853	1916
2010	637	1641
2014	468	1446
1684	657	2705
695	492	2549
1442	702	447
3014	722	409
1906	649	1728
1448	621	1676
1700	852	2748
2182	326	409
2954	514	1887
703	630	1831
1599	681	2596
1397	765	447
508	678	2436
1280	570	383
835	801	2448
2623	715	1838
2382	602	399
1558	812	2561
2522	882	1685
2398	851	2303
1623	695	1997
2179	785	1718
748	962	496
692	688	2201
2781	655	939
2546	688	2435
2885	1033	353
516	551	473
1568	646	2729
782	758	589
1173	769	485
2145	513	402
3080	766	338
2178	836	563
2320	700	2068
1632	901	2649
1386	837	526
1612	764	1926
1468	673	338
968	922	2441
2008	743	2324
1710	582	432
1518	656	2589
2969	950	2302
794	695	1285
2014	721	398
1342	888	1934
2639	359	2471
3238	392	589
3141	614	1798
2097	375	383
3218	356	2540
2512	798	651
757	647	496
1577	756	2579
3094	211	1680
1362	532	451
2518	735	1737
2122	692	2496
2101	630	1812
1982	726	1872
2020	708	1047
2932	1029	1610
1443	618	2571
2745	445	2433
1829	688	1768
1550	710	447
872	707	357
2086	727	1869
1511	687	473
1904	784	1700
1632	663	1987
854	873	2039
2033	648	417
2579	603	2287
605	775	607
1637	582	2653
1638	682	2686
3203	499	335
2599	563	379
3068	778	2442
2472	656	428
1952	548	1571
1769	607	1688
854	862	2428
2191	611	1883
3146	715	493
3100	557	2346
780	606	545
2625	849	1813
678	800	541
1314	300	349
935	599	2457
2063	555	1802
1922	379	2314
1397	937	436
2453	676	1653
2711	384	2505
3077	661	1632
1957	552	786
1889	678	353
2444	815	2275
735	676	353
812	591	511
778	690	320
2651	469	2526
3108	990	1811
1992	635	342
2089	577	2545
1968	669	223
1476	607	2650
2043	622	1937
2656	904	2458
2604	590	2477
693	682	372
3355	732	402
1197	574	309
715	856	1856
723	775	1717
1864	676	1988
1400	778	391
1086	931	1879
2464	797	1766
2653	770	1837
2167	696	2446
914	866	1752
1162	612	387
2242	635	2528
2627	981	379
1521	664	2546
852	711	2098
3004	774	473
942	746	2610
2475	740	417
1247	774	496
1340	845	409
2149	868	1926
2620	132	2440
2442	907	578
1410	623	473
1330	615	545
1195	565	409
1171	667	500
1548	758	2593
680	699	353
1622	774	2630
2539	722	2420
1369	740	1842
2116	714	1912
1347	501	2402
716	541	2571
2175	878	1932
2562	638	2432
1602	609	2572
1491	727	291
2066	675	1714
2613	620	1844
2511	589	1677
1611	819	1935
2683	349	1889
1555	712	574
694	630	432
2586	951	2562
2565	799	2349
1547	592	530
2010	479	413
1471	685	1222
1585	898	629
1673	921	1864
703	739	548
1192	666	522
660	536	394
918	828	2565
1279	691	406
2134	519	2560
3034	586	380
2720	668	2438
646	620	346
1121	653	372
3273	203	1959
2556	750	470
2019	520	462
1495	695	2527
603	616	533
351	517	477
1581	733	2675
2931	511	354
395	455	2275
493	455	357
764	829	447
678	790	443
1504	691	488
1610	768	2706
899	707	1683
2622	615	1824
2575	526	462
699	675	451
784	715	447
3022	728	1736
2978	669	413
1843	909	2287
2025	793	1771
519	624	1814
848	862	2437
682	696	2434
1598	770	2026
3096	824	470
2380	693	1251
2726	279	346
3216	371	549
2516	807	2359
2046	529	316
1647	432	2650
1549	694	1713
3149	661	2540
763	783	1748
1462	725	1791
1241	812	485
1409	686	379
1093	569	473
1251	774	1904
944	949	1784
1658	757	2054
877	685	417
2971	748	488
2146	729	2452
995	897	1942
1296	675	346
697	621	2368
1335	618	730
2484	666	309
1634	847	2699
1231	710	353
1645	681	1865
1387	711	424
3068	804	2475
2776	907	2652
1379	702	2605
2068	598	779
1564	808	2076
1974	502	291
2577	364	1824
3071	180	552
1468	601	320
2466	666	492
1188	733	357
2428	544	2267
735	756	1904
853	643	316
707	738	2544
1945	666	455
767	682	473
2063	861	571
1232	625	1313
1474	620	302
717	674	152
2053	885	2355
2594	474	1810
1976	744	357
2630	675	439
2135	704	485
1886	455	387
1509	809	2621
709	777	376
1634	730	2720
2072	652	379
1646	699	357
2077	803	1753
2583	736	383
2623	720	1732
859	795	455
1573	541	1986
2291	874	477
1564	745	2539
3203	892	368
678	559	2445
2534	688	2543
1619	759	1961
2601	420	429
744	666	1561
2598	715	413
787	722	1784
770	671	2331
1471	710	1897
2746	621	1822
1540	639	1935
699	660	2250
2070	633	2510
1587	602	451
832	630	291
2573	805	1884
2073	829	1814
1412	734	2540
2647	776	2533
1961	637	2469
2171	708	417
1088	856	2652
1570	697	2542
1959	392	1608
1726	765	2011
1482	647	1650
1475	859	481
1161	668	1029
2204	515	589
822	879	507
1869	613	1888
1412	774	455
906	681	394
946	853	2490
1473	538	2481
3080	676	2329
1856	585	2023
1629	730	1768
1630	696	1997
809	740	424
1479	703	458
930	575	890
2904	427	2045
3006	998	2302
2216	772	481
1866	685	2315
2672	888	1023
729	751	1988
1650	796	2061
731	808	349
776	725	2657
739	684	1154
929	793	2354
1609	820	1789
1592	798	571
2704	649	1888
1368	694	473
2519	436	447
3095	730	534
3108	1115	1893
3267	507	1994
1934	522	1754
2551	804	2415
1469	659	313
858	723	1977
725	555	383
1993	627	1913
3069	779	2478
1509	709	2643
1638	815	1941
2219	805	462
2664	242	462
371	573	2369
2543	613	1761
3016	307	2378
682	810	1382
1235	665	320
1326	709	413
2077	786	503
1477	590	2536
2070	573	545
2109	521	1861
2576	890	2487
2626	753	571
1958	624	2447
1302	824	1811
1497	710	522
2989	821	2371
1514	741	2525
965	788	2482
1529	852	368
1944	483	618
1468	616	522
1412	788	458
3076	536	1373
2026	502	545
2177	445	2569
3008	995	552
815	741	2447
2631	869	2515
1945	548	1700
1787	680	1216
1302	636	462
1972	445	432
3072	809	1761
3044	557	2369
885	755	2466
615	681	481
2127	529	1800
2587	654	2485
663	686	387
2497	523	273
2624	966	2554
2505	754	439
2544	533	2327
941	648	2254
2656	556	556
2307	792	2622
2221	719	2599
3096	919	485
779	712	2449
3330	484	2603
2024	572	1683
1935	817	582
1911	528	1631
2631	724	2033
2568	756	533
1538	751	2476
968	809	1840
1591	593	2591
1387	773	2577
789	698	353
2004	796	2610
831	702	2479
680	588	2578
1487	649	417
1563	695	2542
850	685	2526
924	618	1862
2823	907	478
1507	620	2632
2180	773	1829
3286	467	2567
3145	416	338
2130	682	1793
1532	841	1715
1620	629	2507
562	485	492
2584	658	541
2585	521	2377
907	715	2535
904	774	2485
1540	833	563
2141	542	2430
2290	607	2016
666	724	1805
1261	664	1724
1546	777	1884
1666	765	2688
2694	385	2533
2778	553	2585
2259	734	1900
3262	345	471
2070	604	417
2852	969	622
1999	610	552
1542	754	477
2165	389	533
1670	677	2070
2280	658	1819
1630	717	462
2991	763	1609
894	615	1982
3018	771	489
1005	651	1742
1963	549	2353
3106	677	1737
1070	623	324
1642	654	1843
1537	657	1593
810	628	1571
1706	552	2579
1932	538	451
587	800	432
1293	650	470
744	686	1552
889	763	451
1599	731	1841
2544	417	2174
991	681	1927
3154	846	439
2508	377	1642
408	505	364
2706	713	1771
773	536	2581
3064	717	2336
2737	459	485
754	633	2568
1436	626	1752
2086	674	2453
1925	820	2254
2467	789	578
2069	673	1964
2528	618	1983
775	563	455
2512	486	1697
762	801	1831
1427	693	2488
2130	762	2540
2568	718	2465
1343	642	2522
773	669	2491
1532	821	1961
2017	645	1835
2024	749	1834
692	628	2546
1895	579	424
2203	664	2533
1447	797	1883
2124	913	2602
1981	626	342
1674	915	522
1492	912	2507
2071	841	2576
3129	478	276
1919	543	1668
568	538	507
2600	435	1680
2215	857	2593
2513	654	1752
1960	813	1819
2899	478	1670
657	763	2036
1320	661	409
3155	509	1773
1502	748	1875
2452	461	1310
3100	836	548
687	713	2466
2104	752	2592
3012	198	2301
2140	471	421
1423	680	383
1087	505	455
1455	659	417
2005	595	1838
873	793	2526
718	835	458
2648	268	1875
1798	989	2338
1672	903	2134
1483	745	2490
1569	712	2590
2990	494	316
734	737	2606
2565	698	298
2244	626	1881
1438	553	1922
1158	521	1888
2795	814	2674
2601	605	1724
2060	638	2553
2060	824	477
2200	662	2624
2197	747	2748
983	803	2627
753	616	409
1991	496	443
963	799	2073
3083	439	560
1454	670	1732
2144	518	1490
1619	789	2642
2017	557	548
2630	841	2005
2307	628	1156
1696	744	2854
1813	759	2683
747	596	298
820	813	1939
1605	669	2616
935	673	2594
1431	713	287
2713	438	169
586	597	357
2008	634	1681
2635	629	1698
2038	695	2454
2599	401	1650
621	445	223
2532	760	1744
2718	909	2639
3057	448	2491
1452	543	541
825	682	1761
3152	542	2553
2612	529	488
2231	577	2000
1458	843	2602
1671	800	522
3116	800	1534
2911	245	488
2139	484	383
479	692	1735
1473	558	2704
862	735	2032
772	721	485
1489	677	2554
1931	685	2374
1563	680	1744
3024	433	1609
1427	653	488
804	451	2463
2399	827	310
2679	435	1709
772	466	309
3026	407	1772
2126	709	421
662	862	1868
2539	882	1780
2049	579	361
2677	506	612
1668	610	2609
712	554	2503
2668	351	1461
2623	768	2426
2082	883	1949
3090	620	2514
678	654	2400
1968	738	2321
2626	364	537
1962	758	2447
2042	507	2317
2283	622	2011
3116	689	1689
1704	811	1744
1863	535	1703
2091	517	473
2714	1053	2667
1767	557	1920
1653	804	2812
1529	728	2604
720	670	1844
1629	761	496
2534	866	2396
1496	782	515
1984	555	1646
2108	513	458
881	744	537
1533	867	556
566	749	1818
905	644	1681
1597	671	1904
2492	626	1684
1573	465	368
3092	665	1690
2376	617	526
759	788	2195
2169	667	1937
971	807	2398
2530	533	1306
2627	635	394
3163	1041	2486
699	691	338
2655	943	1926
869	543	1139
2676	697	2540
2593	670	1841
2590	535	2489
2129	464	466
2064	874	2632
1661	861	470
2221	606	2523
2730	658	269
1952	736	1800
3132	852	571
2688	199	1784
2098	774	2427
831	640	2283
1428	704	473
2227	681	313
2074	653	1900
663	660	356
3200	785	466
2657	874	1905
1999	492	398
1855	658	501
2095	639	2556
2092	890	2363
2007	643	1628
2082	633	458
1604	627	1079
1948	617	1824
1394	718	1953
3098	880	1888
1506	862	409
2054	718	1836
2704	528	2496
3133	970	1675
658	950	1887
3018	227	477
795	678	2473
2731	690	387
2614	717	541
621	671	294
2279	880	413
1968	813	1781
1989	689	1909
1883	775	455
1988	633	2318
887	875	552
1006	757	2579
937	826	1922
750	624	2319
2717	259	1846
775	675	1961
3216	715	1913
2558	572	372
904	799	2059
1097	743	975
541	705	1984
2608	554	1801
1355	552	428
2545	855	417
1347	655	1673
648	545	294
2605	690	1634
1800	661	2272
1909	585	1712
3274	408	2604
612	766	406
3118	862	1842
2036	512	394
808	565	421
2644	799	1885
651	637	1410
1558	804	1724
1606	655	1814
1517	833	2564
624	542	276
773	670	439
3324	394	1976
737	798	436
904	865	2377
1085	806	2770
3162	910	242
2709	784	2544
2520	797	2459
1921	650	262
1725	789	2711
2738	770	957
1927	424	346
976	763	1962
1299	563	313
2570	979	353
2052	598	2241
1617	729	2587
824	689	2327
1730	787	2645
1630	683	2640
2742	258	1925
1693	784	1968
2694	380	2470
2734	455	2494
1008	922	2659
1864	613	383
2543	624	567
2698	419	439
2559	142	2323
759	679	1911
3028	448	365
3141	927	1790
2139	579	451
1855	625	368
1502	650	368
2227	645	2551
1943	821	1842
1479	767	368
3066	683	2458
754	632	2413
3147	543	516
948	754	1918
3197	792	545
3140	1021	1884
2042	760	2265
900	772	2608
2544	472	413
1523	770	1644
1482	724	2680
874	659	2426
640	647	507
1016	768	2630
1792	816	2729
2007	584	2322
2592	647	2369
3105	653	2516
1777	690	2048
825	819	2066
1452	717	596
2804	541	1998
2603	412	522
2999	549	500
1475	612	533
2034	622	1852
792	665	1862
2409	396	545
2513	713	2311
1874	788	1020
2816	810	2115
2481	594	444
2571	735	1804
826	723	338
1198	829	492
808	730	2359
2497	807	522
3053	572	2303
2765	154	2023
822	783	1905
902	801	1743
2701	213	398
2504	388	2352
2036	490	458
2494	747	1846
1715	893	2165
1951	604	2370
1984	613	443
752	770	1814
1327	579	398
1906	574	316
514	720	2069
3182	409	439
1029	806	1878
3024	394	2400
2799	309	466
2670	404	2407
3318	972	1957
3258	727	568
2300	721	2003
1469	694	503
2687	1036	530
2524	752	406
1542	717	2506
2108	783	2423
1577	805	1881
1996	725	357
2648	956	2501
1272	484	421
968	835	1864
3190	566	447
2091	529	1861
1479	712	2630
2666	311	1732
1533	718	2492
1566	759	1946
3034	493	2372
559	533	2533
715	742	2631
2739	216	391
2144	682	1959
2195	928	2683
719	790	488
1410	806	1758
3021	124	1706
3177	853	1858
1927	668	477
3121	914	1815
3134	691	406
1990	806	574
1110	570	522
1670	995	541
1580	754	563
2086	540	349
2504	714	1791
872	681	2622
1486	576	1880
1396	776	2110
2603	688	2491
2781	203	1965
2069	557	462
3137	869	1764
1536	803	2011
735	721	2571
1887	623	234
2647	570	287
1963	725	2472
2533	359	485
1456	726	1936
679	467	899
909	723	2496
1315	743	477
1478	766	2672
820	724	492
779	907	2155
1599	728	1932
1441	574	2507
622	684	2419
841	685	387
971	696	1523
2883	736	2676
835	837	2047
2583	642	1810
2613	564	1832
3033	599	294
606	960	477
2585	561	436
2557	372	398
1522	516	2524
2700	703	2604
920	627	481
2777	1018	541
1487	634	1852
2635	205	1727
1441	567	1501
602	668	436
2057	815	1760
1528	603	2660
1638	655	2144
2617	864	2571
2624	561	353
2508	425	364
1684	802	2558
1703	725	1894
2631	510	485
2622	890	424
2027	607	2478
1561	636	2615
1611	585	2590
2406	744	965
2705	664	1844
3368	1061	2584
2076	659	611
1313	749	503
2607	744	2511
681	799	1946
2002	615	2467
690	706	1746
2231	646	560
3077	942	2337
646	730	1844
2089	763	1821
2608	699	2466
3123	788	658
1685	823	2692
1339	677	1385
2189	1083	1986
1419	550	346
546	571	2508
2011	681	391
2273	568	2674
1490	573	1561
2178	885	2487
2931	573	1912
2719	795	1823
1965	694	379
2106	787	571
2530	664	455
874	843	2475
2531	693	2354
1967	706	2408
2559	435	2224
1988	805	1883
2233	916	2038
2014	760	647
1506	705	2474
2543	701	508
1923	618	466
1910	619	1691
2678	473	503
690	544	451
2081	525	346
2400	694	585
473	630	1729
796	834	2486
869	696	3288
1636	778	2669
1590	885	2042
2332	650	2037
2502	629	1506
2550	602	291
2128	702	284
2592	745	432
519	699	324
1346	843	439
2463	537	1710
1500	820	1801
934	617	2628
2616	395	2459
2382	811	398
1487	654	2477
778	713	2437
2202	708	1837
766	516	291
932	716	2622
2475	842	1728
2588	555	1852
3006	492	409
2759	799	2010
2792	899	2681
2091	554	357
2425	682	424
1868	730	372
875	753	2502
751	586	2285
2333	676	1185
2569	345	372
2101	580	1826
2128	668	2505
651	613	1652
2474	694	2362
1746	620	320
2562	666	1030
1746	588	2691
621	654	424
2953	448	338
1870	718	2356
1532	846	2583
1054	814	1917
2816	988	1202
645	646	522
818	768	2333
1471	657	470
2627	269	2415
620	721	357
2067	683	473
1499	732	1798
1433	661	447
1177	620	1270
1957	629	455
2545	931	1811
2913	650	1941
1348	1034	1549
2288	571	1161
3117	399	399
1869	689	596
714	574	2400
1919	649	2270
1707	659	2787
3185	355	302
1972	598	2263
2219	509	383
2932	719	2035
1021	849	1824
1518	458	432
1494	751	1931
2600	811	2535
495	607	2478
2168	503	357
1357	682	364
773	661	1614
1278	800	1309
3163	981	1759
1272	631	379
2080	531	2585
2574	442	2384
2536	639	1710
787	669	2321
2465	766	2343
2566	691	582
3182	718	612
2570	113	451
1538	764	2267
940	695	1672
1692	792	2705
2555	741	1769
604	706	2375
1525	766	2632
717	877	1111
2477	815	413
1450	620	327
3063	501	2373
1335	789	458
697	686	1607
1570	575	1786
2608	888	1904
1342	647	462
1680	713	391
2525	713	377
927	849	2096
1901	759	466
2096	821	1928
1578	613	2668
3097	486	1760
2524	595	1794
2183	613	518
832	646	473
2622	709	1903
1155	420	1053
1500	647	1636
1420	588	443
2221	817	2104
3005	664	452
2522	215	2363
928	666	814
3070	833	2419
2303	853	1996
837	650	492
1030	685	2397
1544	766	451
2526	764	2460
2202	709	379
2047	697	2411
758	577	383
2684	770	313
765	581	294
684	667	2578
2070	628	349
911	859	567
2629	777	2490
1664	905	2753
1401	720	1715
3134	704	324
1420	592	720
895	718	406
922	846	1868
2156	825	1961
1605	692	2038
1785	643	1931
778	454	492
2087	643	2534
1632	686	2686
2195	722	2483
696	791	1235
2884	764	388
1973	666	1819
748	796	563
1571	779	563
2632	559	2476
541	447	1777
1599	677	1974
3076	1056	1770
2719	172	1801
2025	690	2428
692	736	409
1600	866	2613
3130	216	1680
487	688	2213
1854	926	2858
897	587	470
1389	715	413
1810	908	503
2014	670	447
2778	463	1916
665	575	269
2171	622	2455
3158	945	1844
2586	738	1850
3091	567	2469
2531	702	368
2568	443	2458
1953	715	2393
2582	497	2383
1387	659	1745
1365	796	470
1514	807	1937
1958	678	1725
3089	942	1814
2613	736	2448
3047	275	458
1422	847	611
668	715	443
634	753	2542
797	909	2368
2552	826	2415
721	718	451
1023	824	533
1486	823	1728
879	658	2553
3039	872	398
1710	923	2745
1149	732	439
3143	657	481
2006	744	2529
1608	723	1917
3049	869	2514
3023	714	1702
873	575	533
775	706	1942
2120	588	2355
1455	760	1908
2163	530	1790
2442	748	353
2593	839	2454
585	617	462
1752	782	1910
1499	582	2548
3011	679	294
1646	860	2685
2350	861	1177
554	576	2491
2104	692	2414
1633	812	2676
2522	431	302
2627	386	1879
622	709	2367
2621	622	1925
1739	923	2048
2381	619	159
2178	521	1848
3091	1112	2481
2132	529	1856
683	598	432
2577	641	1674
1911	745	2362
707	858	436
1037	429	421
1621	799	455
2951	905	455
2085	651	2499
2916	536	2161
1278	767	1331
764	676	2005
701	745	1738
851	725	488
410	555	2384
2265	734	424
2007	712	436
680	703	466
2581	343	2346
2389	707	2217
3114	740	604
1306	424	1617
1621	717	1963
1354	519	1946
2556	558	2417
1956	658	2385
1381	577	387
1929	601	372
1658	735	2136
3119	792	2438
793	766	391
1457	598	2399
847	675	533
654	745	960
1586	869	560
3265	1096	1940
2690	716	413
3038	926	392
2048	488	2313
826	718	582
3159	839	1889
1348	516	391
1932	611	1621
2497	637	448
1635	764	2672
1934	635	507
1860	649	2277
1152	746	1936
744	739	391
3184	504	2514
2503	709	342
863	830	428
1322	579	1744
2772	268	503
1118	652	915
738	638	1723
1295	570	1605
2571	520	394
1768	846	2066
2764	356	2635
1439	757	1699
3056	643	2274
2878	928	1934
647	570	1183
1604	721	2604
2721	773	2639
816	710	409
1484	603	298
2637	819	2493
1441	652	2520
1790	672	1328
1630	662	2714
813	801	556
2748	587	2555
2641	627	372
2109	715	2397
1855	666	511
2601	847	1816
709	508	324
1489	803	1803
1543	623	2554
3157	225	1897
1849	684	1706
2016	803	402
2140	573	1900
2062	683	503
866	676	2480
2039	462	443
1565	510	398
3159	213	507
2114	751	2424
2185	765	372
918	647	1740
2052	663	437
1514	1027	2159
849	718	1836
2076	713	560
2781	608	1963
1651	780	2749
1416	591	2461
2608	778	417
1587	610	2559
2827	842	526
706	856	2451
2580	774	2403
2069	705	1887
2116	725	2542
3231	519	418
3130	405	1805
2151	846	2483
2410	931	1177
2043	749	636
1482	834	1783
1697	754	1884
1022	734	1742
837	656	615
3298	798	2679
552	403	409
2297	429	1992
1696	899	2587
1960	659	2259
1573	552	2627
2622	480	2486
1837	444	361
805	671	443
1849	542	349
2043	808	2550
1477	565	2516
1467	517	2642
2646	703	451
1770	825	2089
909	715	545
1437	465	1585
2080	636	1875
949	872	1811
2062	436	294
2624	290	2318
1800	955	2148
3218	477	403
2099	718	488
2245	617	2659
1916	637	2351
2008	581	313
2560	787	2472
740	669	2477
2115	642	2500
2712	513	560
2018	738	1821
2015	694	417
2175	400	2508
1918	652	287
1967	729	2436
1438	683	368
783	653	1730
2554	826	409
629	814	391
2094	668	2443
1908	661	409
2592	435	2454
778	629	2524
2950	917	1188
1370	640	1025
2625	663	269
1426	652	1829
1971	445	2273
610	710	2375
784	860	1433
2607	146	466
839	727	1660
1582	617	417
2511	520	436
1550	695	1921
1295	654	451
1397	774	1711
2687	818	1883
1202	676	1826
1560	738	1703
1541	743	578
3202	313	612
2445	727	643
2607	840	428
2496	795	2374
1511	521	1715
2676	485	1868
3194	814	2603
713	724	2345
886	646	2495
2446	557	1720
636	512	2483
3171	663	444
2035	753	492
732	671	1707
1982	730	1876
566	630	391
1430	776	492
2207	838	507
593	781	481
2734	667	2682
2131	862	2511
905	758	2437
1997	521	424
1050	736	1831
2761	524	563
1964	701	1892
1343	446	492
1988	547	458
1827	578	1519
889	767	545
3129	414	1726
613	665	1822
2643	858	2602
2540	554	1660
2048	775	1682
768	645	496
727	712	567
2086	483	451
916	659	2609
1857	652	2928
1398	363	266
883	854	439
2185	544	455
989	836	1867
2287	650	1950
801	633	2444
2150	768	1652
894	489	952
1949	462	451
853	600	455
2757	290	504
1582	895	2352
777	649	1674
2640	776	2532
2563	925	2460
2513	605	1712
3002	665	439
1595	648	1811
2735	429	1927
818	832	485
469	612	2226
2522	703	2265
696	543	335
3077	626	1607
924	561	1967
2752	664	353
1563	753	2673
1912	566	1629
1732	648	1837
2127	821	1873
2613	834	398
3301	270	2799
3006	745	2357
877	819	1688
965	894	2075
2509	737	1819
1337	716	2472
2130	527	368
2151	430	503
1915	648	541
2515	737	2419
1389	679	625
2398	617	1869
911	639	379
2109	650	518
1402	715	545
2656	403	541
706	795	2495
2530	439	654
2051	728	2400
2687	564	1854
2022	594	2537
2043	399	357
960	892	2590
1529	680	2061
3017	691	324
804	653	1857
1988	449	2385
3162	599	1881
2448	639	1632
815	648	1762
3116	980	2476
1480	758	2529
1743	679	2766
1690	700	2720
661	612	2355
1416	790	439
1910	748	2318
2606	458	1736
1687	805	2676
674	739	353
2456	986	473
2958	1085	2299
2054	696	526
2676	880	1758
1771	854	1952
2002	643	537
1546	522	2571
631	743	2627
1738	648	1145
1574	635	2676
3152	761	1923
2638	926	2499
2818	300	1978
638	620	1744
1923	739	462
2159	696	424
2500	640	309
2695	243	2506
2608	918	2524
553	719	1943
818	746	1850
1658	969	2044
2716	692	1941
742	787	455
681	880	2501
3073	361	1385
2697	726	387
2739	563	1703
861	857	1640
1503	846	436
1997	656	447
1947	629	1769
773	536	2582
637	508	346
2119	696	2610
2479	688	2337
1571	683	2560
1401	678	2025
3147	587	2431
2243	698	1936
1560	871	1875
1469	854	1911
2535	490	2252
2565	683	1683
3065	377	346
1521	510	287
1454	653	2601
2790	627	2693
2688	522	1898
1464	743	2523
846	639	1662
910	844	2556
2497	606	466
2408	628	2269
2522	682	459
2518	815	471
2686	373	1781
1662	855	2782
639	636	2256
1051	844	2026
800	702	383
3268	613	1915
2097	539	2014
1549	690	2577
1504	710	2585
733	711	406
1338	814	428
574	846	2417
2555	525	507
909	839	1881
2691	858	2624
653	817	417
1635	588	2657
756	587	1829
2009	865	2396
3090	1002	477
837	791	1828
827	657	600
1402	690	507
2167	698	2656
1941	560	2417
2188	669	2629
2621	756	1912
3261	127	2553
2105	660	1426
1578	709	2644
1300	606	324
1336	671	428
3062	395	511
2607	983	2003
657	613	2522
2889	423	2115
1851	629	515
